t_event,osc_idx,bub_id,event_type,radius,cutoff_tau,weight,peak_accel
3.02778,744,21026,S,0.0135782,0,0,0.00290153389
3.03306,744,21117,S,0.0134246,0,0,0.00315175632
3.04139,744,21248,M,0.0106859,0,0,0.00323511746
3.05278,744,21460,S,0.0101353,0.00168921667,-3729.80984,0.00207962904
3.06833,744,21681,M,0.0100739,0,0,0.000923462116
3.0725,744,21732,M,0.0101461,0,0,0.000844045208
2.86278,745,18957,N,0.0053039,0.000883983333,-13621.5075,0.00194644758
2.86389,746,18971,N,0.00341392,0.000568986667,-32883.2009,0.00194124201
2.86556,747,18986,N,0.00424068,0.00070678,-21309.5478,0.00194388572
2.87139,747,19040,S,0.00411402,0,0,0.00150466352
2.8675,748,18994,S,0.00434074,0.000723456667,-20338.2841,0.00196165879
2.86944,749,19017,N,0.00413567,0.000689278333,-22405.6325,0.00194835216
2.87111,750,19036,N,0.00390797,0.000651328333,-25093.156,0.00195897802
2.87139,751,19043,N,0.00310175,0.000516958333,-39836.8988,0.00194661503
2.87222,752,19053,N,0.00434074,0.000723456667,-20338.2841,0.00203046772
2.87361,753,19065,N,0.0041571,0.00069285,-22175.1846,0.00195461135
2.87389,754,19068,N,0.00383421,0.000639035,-26068.0773,0.00194925452
2.87417,755,19074,S,0.00823345,0.00137224167,-5652.1071,0.00202324307
2.87917,756,19115,S,0.0044735,0.000745583333,-19148.851,0.00195332115
2.88111,757,19127,S,0.00741585,0.001235975,-6967.2364,0.00200628312
2.885,758,19174,S,0.00397903,0.000663171667,-24204.742,0.0019598202
2.88861,759,19215,S,0.00367754,0.000612923333,-28336.9362,0.00195352965
2.89028,760,19230,S,0.0042201,0,0,0
2.89028,761,19233,N,0.00341392,0.000568986667,-32883.2009,0.00195381281
2.89361,762,19262,N,0.00417831,0.000696385,-21950.5856,0.00195384515
2.89444,763,19266,N,0.00404765,0.000674608333,-23390.8676,0.00196512095
2.90111,764,19322,S,0.00353595,0.000589325,-30652.2421,0.00195322451
2.90278,765,19336,S,0.0072724,0.00121206667,-7244.83599,0.00198739894
2.91639,765,19487,M,0.00763695,0,0,0.00133269619
2.92917,765,19627,M,0.0079464,0,0,0.000864196986
2.935,765,19680,S,0.00726545,0.00121090833,-7258.70455,0.00245859094
2.95806,765,19993,M,0.0073822,0,0,0.0012759843
2.90417,766,19356,N,0.00454596,0.00075766,-18543.178,0.00197124496
2.905,767,19372,N,0.00341392,0.000568986667,-32883.2009,0.00195192136
2.90556,768,19376,N,0.00419931,0.000699885,-21731.5554,0.00195321718
2.90611,769,19383,N,0.00390797,0.000651328333,-25093.156,0.0019586864
2.91194,770,19443,N,0.00395562,0.00065927,-24492.1372,0.00196121958
2.91194,771,19444,N,0.00484654,0.000807756667,-16314.1066,0.00195648321
2.91278,772,19448,S,0.00397903,0.000663171667,-24204.742,0.00195665196
2.91389,773,19457,N,0.00475054,0.000791756667,-16980.2287,0.00196167122
2.91694,774,19496,N,0.0199379,0.00332298333,-963.764428,0.00201292007
3.31111,774,23972,M,0.0230733,0,0,5.43076803e-05
3.37333,774,24550,S,0.0227405,0.00379008333,-740.842441,0.00200642443
3.38,774,24625,S,0.0227576,0,0,0.00198693521
3.41417,774,25006,M,0.0229081,0,0,0.00149981865
3.43056,774,25205,M,0.0229655,0,0,0.00128710125
3.44222,774,25348,M,0.0230004,0,0,0.0011579239
3.45667,774,25503,M,0.0231154,0,0,0.0010233651
3.48556,774,25781,M,0.0230095,0,0,0.000791160284
3.5,774,25918,S,0.0229704,0,0,0.000711415853
3.51222,774,26030,M,0.0230067,0.00105147209,1472.98964,0.000739726043
3.52639,774,26198,M,0.0227519,0,0,0.000638907903
3.53194,774,26227,M,0.0228645,0,0,0.000621040034
3.54111,774,26297,S,0.019334,0.00322233333,-1024.91362,0.00186857299
3.55528,774,26418,M,0.0194302,0,0,0.00168888703
3.56944,774,26582,M,0.0194331,0,0,0.00147461658
3.57306,774,26620,M,0.0194846,0,0,0.0014334468
3.59472,774,26815,M,0.0195156,0,0,0.00115494128
3.62444,774,27054,M,0.0228891,0,0,0.000760270148
3.63833,774,27155,M,0.0197574,0,0,0.000737182648
3.66667,774,27494,S,0.0199175,0,0,0.000567057832
3.68,774,27641,S,0.0199536,0,0,0.000503777846
3.69444,774,27779,S,0.019586,0,0,0.000433049691
3.69972,774,27838,S,0.0197668,0,0,0.000379909612
3.70639,774,27908,M,0.0195272,0,0,0.000383067676
3.72222,774,28048,M,0.0193252,0,0,0.000343243245
3.74889,774,28354,M,0.0195764,0,0,0.000260948846
3.76333,774,28500,M,0.0195668,0,0,0.000227765176
3.77667,774,28663,M,0.0194155,0.00101509897,2068.31268,0.000451333442
3.79167,774,28799,M,0.0196292,0,0,0.000201811677
3.805,774,28916,S,0.0175204,0,0,0.000189028021
3.81639,774,29088,M,0.0175718,0,0,0.000169283026
3.83333,774,29401,M,0.0176703,0,0,0.000139834509
3.84722,774,29623,M,0.0176608,0,0,0.00011963807
2.92139,775,19535,N,0.00424068,0.00070678,-21309.5478,0.00195777806
2.92444,776,19572,S,0.00367754,0.000612923333,-28336.9362,0.0019548261
2.92528,777,19588,N,0.00310175,0.000516958333,-39836.8988,0.00194340966
2.92556,778,19590,N,0.00463341,0.000772235,-17849.7172,0.00195310827
2.92583,779,19594,S,0.00409214,0.000682023333,-22884.9305,0.00195217739
2.92833,780,19615,S,0.00452806,0,0,0
2.92889,781,19626,N,0.00395562,0.00065927,-24492.1372,0.00194993446
2.92944,782,19632,S,0.00490848,0.00081808,-15904.9104,0.00195597196
2.93194,783,19649,S,0.00310175,0.000516958333,-39836.8988,0.00193935046
2.93444,784,19678,N,0.00390797,0.000651328333,-25093.156,0.00195989025
2.935,785,19681,S,0.0037575,0.00062625,-27143.5174,0.00194772692
2.93889,786,19721,S,0.00489314,0,0,0
3.19417,786,22929,M,0.00495393,0,0,3.27400631e-07
3.19972,786,22964,S,0.00404765,0.000674608333,-23390.8676,0.00193686743
3.20528,786,23036,M,0.00424068,0.00070678,43366.7652,0.00540115765
2.93917,787,19727,S,0.00367754,0.000612923333,-28336.9362,0.00195462588
2.93917,788,19729,N,0.00397903,0.000663171667,-24204.742,0.00194669435
2.94,789,19736,N,0.00341392,0.000568986667,-32883.2009,0.00195199541
2.94361,790,19773,N,0.0044735,0.000745583333,-19148.851,0.00201155027
3.06889,790,21690,M,0.0058377,0.00097295,22882.5463,0.00408798501
3.07972,790,21844,M,0.00593345,0,0,0.00271217297
3.09639,790,22077,M,0.006016,0,0,0.00139605176
3.10278,790,22151,M,0.0062698,0,0,0.00103118213
3.12139,790,22315,M,0.00586995,0,0,0.000495569764
3.13194,790,22410,M,0.0053558,0,0,0.000357998309
3.16583,790,22719,M,0.0057721,0,0,8.97980045e-05
3.16722,790,22729,S,0.00505685,0.000842808333,-14985.1611,0.00198890745
3.33278,790,24150,M,0.00585925,0.000976541667,22714.5139,0.00409188369
3.81944,790,29136,M,0.00572755,0,0,6.11762751e-11
3.82472,790,29223,M,0.005469,0,0,4.95395255e-11
3.92861,790,30525,M,0.00567085,0,0,7.7321764e-13
3.97056,790,31128,M,0.005251,0,0,2.24056993e-07
3.97722,790,31255,S,0.00489314,0.000815523333,-16004.8052,0.00195947624
2.94917,791,19857,N,0.00390797,0.000651328333,-25093.156,0.00195933614
2.94917,792,19859,S,0.0041571,0.00069285,-22175.1846,0.00195307459
2.95528,793,19950,N,0.00373123,0.000621871667,-27527.1486,0.00195060985
2.95694,794,19970,S,0.00750195,0.001250325,-6808.21287,0.0020343434
2.9575,795,19979,N,0.00341392,0.000568986667,-32883.2009,0.00195146608
2.96,796,20018,N,0.00468432,0.00078072,-17463.7793,0.00196544862
3.55472,796,26404,S,0.00443638,0.000739396667,-19470.6876,0.00195434236
3.97944,796,31294,M,0.0053429,0.000890483333,27317.6713,0.00408075116
3.99611,796,31523,S,0.00439861,0.000733101667,-19806.5601,0.00210845629
2.96,797,20019,N,0.00393194,0.000655323333,-24788.086,0.00196047956
3.01944,797,20920,M,0.00458134,0,0,5.52536702e-05
3.0325,797,21108,M,0.00430127,0,0,2.36594547e-05
3.035,797,21150,M,0.00434074,0,0,2.13224169e-05
2.96111,798,20035,S,0.00409214,0.000682023333,-22884.9305,0.00194721718
2.96139,799,20049,S,0.00367754,0,0,0
2.96333,800,20082,S,0.00367754,0.000612923333,-28336.9362,0.00195792479
2.96833,801,20147,S,0.00310175,0.000516958333,-39836.8988,0.00194666783
2.97222,802,20210,S,0.0043602,0.0007267,-20157.116,0.0019546904
2.97389,803,20241,N,0.00437949,0.000729915,-19979.9092,0.00195767188
2.97472,804,20251,S,0.00341392,0,0,0
2.97611,805,20271,S,0.00367754,0.000612923333,-28336.9362,0.00195316725
2.98028,806,20307,N,0.00359392,0.000598986667,-29671.1807,0.00195078811
2.98056,807,20313,N,0.0043602,0.0007267,-20157.116,0.0019575479
2.98056,808,20314,N,0.00445501,0.000742501667,-19308.1567,0.00195747096
2.99861,808,20570,M,0.00585925,0.000976541667,22714.5139,0.00355820115
3.01361,808,20828,S,0.00538135,0.000896891667,-13232.188,0.00357959103
3.01972,808,20921,M,0.00617465,0.00102910833,20453.0175,0.00227820545
3.03694,808,21184,M,0.0060464,0,0,0.000942929321
3.05389,808,21485,M,0.00613575,0,0,0.000464430084
3.06889,808,21686,S,0.00490848,0.00081808,-15904.9104,0.00218581628
3.07806,808,21819,S,0.00507125,0,0,0.00143770737
3.20694,808,23053,S,0.00479902,0.000799836667,-16638.8402,0.00196053691
3.22083,808,23267,S,0.00466747,0,0,0.00109032225
3.48583,808,25782,S,0.00417831,0.000696385,-21950.5856,0.00198511327
2.98417,809,20355,N,0.00341392,0.000568986667,-32883.2009,0.00195131402
2.985,810,20362,S,0.00341392,0.000568986667,-32883.2009,0.00195202217
2.98833,811,20397,S,0.00341392,0.000568986667,-32883.2009,0.00194736883
2.98861,812,20404,S,0.00411402,0.00068567,-22642.1132,0.00194791307
2.98889,813,20412,N,0.00341392,0.000568986667,-32883.2009,0.00194676693
2.98917,814,20417,N,0.00390797,0.000651328333,-25093.156,0.00195868279
2.99278,815,20478,N,0.00397903,0.000663171667,-24204.742,0.0019495816
2.99333,816,20484,N,0.00341392,0.000568986667,-32883.2009,0.00194865297
2.99361,817,20488,N,0.00383421,0.000639035,-26068.0773,0.00194815844
2.99833,818,20566,N,0.00310175,0.000516958333,-39836.8988,0.00194659525
2.99861,819,20571,N,0.00476681,0.000794468333,-16864.4958,0.00195206433
2.99889,820,20572,N,0.00456372,0.00076062,-18399.1124,0.00202436506
2.99917,821,20580,N,0.00430127,0.000716878333,-20713.3223,0.00196816329
3,822,20590,S,0.0126003,0,0,0
3.01389,822,20839,M,0.0133049,0,0,0
3.02639,822,21001,S,0.0100155,0,0,3.51204548e-07
3.04167,822,21249,S,0.00959805,0.001599675,-4159.0805,0.00203381174
3.05028,822,21412,M,0.00985125,0.001641875,8034.55429,0.00529099369
3.065,822,21626,S,0.00983985,0.001639975,-3957.17078,0.0054261913
3.08139,822,21868,M,0.0096339,0,0,0.00393744195
3.16639,822,22721,M,0.0103461,0.00139947947,7284.30474,0.00305086032
3.18056,822,22818,M,0.0102452,0,0,0.00220706482
3.19444,822,22930,M,0.0100885,0,0,0.00162608137
3.19972,822,22961,S,0.0088821,0.00148035,-4856.65498,0.00110513321
3.20778,822,23072,M,0.0106144,0,0,0.000848747125
3.22139,822,23272,M,0.0092237,0,0,0.000665873353
3.23222,822,23405,S,0.00834075,0.001390125,-5507.60654,0.00225565889
3.26361,822,23643,M,0.00881625,0,0,0.000972996742
